Genus_and_species,superkingdom,phylum,class,order,family,genus,GC_genome,genome_size,GC_16SrRMA,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Trange
Desulfuromusa ferrireducens,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromusa,52.3,,54.3,-2,15.5,14,17,23,25
Dethiosulfatarculus sandiegensis,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,Dethiosulfatarculus,52,,54.2,15,33.5,30,37,45,30
Dethiosulfovibrio peptidovorans,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Dethiosulfovibrio,56,,56.9,20,42,,,45,25
Dethiosulfovibrio salsuginis,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Dethiosulfovibrio,52,,56,20,30,,,40,20
Dethiosulfovibrio acidaminovorans,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Dethiosulfovibrio,51,,57,15,28,,,40,25
Dethiosulfovibrio russensis,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Dethiosulfovibrio,50.8,,56.9,15,28,,,40,25
Dethiosulfovibrio marinus,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Dethiosulfovibrio,51.8,,56.9,15,28,,,40,25
Devosia elaeis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,63,,54.7,10,32.5,28,37,45,35
Devosia geojensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,60.8,,54.4,15,32.5,30,35,45,30
Devosia pacifica,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,63,,54.9,15,27.5,25,30,45,30
Devosia nitrariae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,61.7,,54.3,4,38.5,37,40,40,36
Devosia submarina,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,,,54.6,5,29,28,30,38,33
Devosia honganensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,66.8,,54.2,4,30,,,37,33
Devosia confluentis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,66,,55.1,4,30,,,35,31
Devosia mishustinii,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,64.5,,55.5,4,30,,,35,31
Devosia insulae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,66.2,,55.3,10,25,,,31,21
Devosia humi,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,63.7,,56.1,18,28,,,30,12
Devosia epidermidihirudinis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,,,54.2,4,27.5,25,30,30,26
Diaphorobacter polyhydroxybutyrativorans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Diaphorobacter,66.7,4.1,55.3,7,28,,,40,33
Diaphorobacter aerolatus,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Diaphorobacter,65,,54.2,10,28,,,37,27
Diaphorobacter oryzae,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Diaphorobacter,62.9,,55,7,30,28,32,35,28
Dichotomicrobium thermohalophilum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Dichotomicrobium,63,,57.2,13,63,61,65,65,52
Dictyobacter vulcani,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Dictyobacteraceae,Dictyobacter,49.7,,55.7,20,30,,,37,17
Dictyobacter aurantiacus,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Dictyobacteraceae,Dictyobacter,55.7,,56.4,20,27.5,25,30,37,17
Dictyoglomus thermophilum,Bacteria,Dictyoglomi,Dictyoglomia,Dictyoglomales,Dictyoglomaceae,Dictyoglomus,33.7,2,58.9,50,78,,,80,30
Dietzia lutea,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Dietziaceae,Dietzia,70.9,3.9,57.4,10,28,,,45,35
Dietzia schimae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Dietziaceae,Dietzia,71.9,,57.3,10,28,,,45,35
Dietzia aurantiaca,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Dietziaceae,Dietzia,,,57.2,4,30,,,37,33
Dietzia cercidiphylli,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Dietziaceae,Dietzia,72.6,,57.3,10,28,,,37,27
Dietzia kunjamensis,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Dietziaceae,Dietzia,67,,57.2,20,25,,,37,17
Dinghuibacter silviterrae,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Dinghuibacter,51.6,,51.6,16,29,28,30,37,21
Dissulfuribacter thermophilus,Bacteria,Proteobacteria,Deltaproteobacteria,,,Dissulfuribacter,40.5,,58.8,28,61,,,70,42
Dissulfurimicrobium hydrothermale,Bacteria,Proteobacteria,Deltaproteobacteria,,,Dissulfurimicrobium,49,,55.4,30,51,50,52,65,35
Dissulfurirhabdus thermomarina,Bacteria,Proteobacteria,Deltaproteobacteria,,,Dissulfurirhabdus,64.6,,58.8,25,50,,,58,33
Dokdonella koreensis,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dokdonella,70.3,4.4,56.9,4,30,,,40,36
Dokdonella kunshanensis,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dokdonella,71.5,,56.2,15,30,,,37,22
Dokdonella soli,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dokdonella,73,,56.6,5,30,,,35,30
Dokdonia donghaensis,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Dokdonia,38.2,3.3,49.3,4,30,,,35,31
Dokdonia pacifica,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Dokdonia,36,,49.9,10,28,,,35,25
Dokdonia lutea,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Dokdonia,35,,50.2,15,27.5,25,30,35,20
Dokdonia flava,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Dokdonia,36,,49.2,10,25,,,30,20
Domibacillus iocasae,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Domibacillus,44.4,,56.3,10,35,,,45,35
Domibacillus robiginosus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Domibacillus,44.1,,56.6,13,30,,,45,32
Domibacillus epiphyticus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Domibacillus,41.5,,55.8,20,37.5,35,40,45,25
Domibacillus enclensis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Domibacillus,46.9,,56.3,25,29,28,30,45,20
Domibacillus tundrae,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Domibacillus,43.5,,56.3,10,30,,,42,32
Domibacillus antri,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Domibacillus,46.4,,56.1,15,28,,,42,27
Domibacillus mangrovi,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Domibacillus,40.6,,55.1,15,30,,,40,25
Domibacillus indicus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Domibacillus,37.4,,56.4,10,29,28,30,40,30
Domibacillus aminovorans,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Domibacillus,40.8,,55,10,30,,,39,29
Donghicola eburneus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Donghicola,59.7,,54.6,10,37,,,42,32
Donghicola tyrosinivorans,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Donghicola,60.4,,54.7,15,30,,,40,25
Dongia soli,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Dongia,54.7,,55.4,15,37,,,40,25
Dongia mobilis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Dongia,65.6,,55.8,20,32.5,30,35,40,20
Dongia rigui,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Dongia,71.5,,55.2,15,27.5,25,30,37,22
Draconibacterium filum,Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,Prolixibacteraceae,Draconibacterium,44.7,,50.9,10,30,,,40,30
Draconibacterium sediminis,Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,Prolixibacteraceae,Draconibacterium,40.9,,50.9,15,32.5,30,35,40,25
Draconibacterium orientale,Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,Prolixibacteraceae,Draconibacterium,41.3,5.1,50.7,20,30,28,32,40,20
Duganella ginsengisoli,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,55.3,,53.8,4,30,,,40,36
Duganella radicis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,54.9,,53.7,15,30,,,37,22
Duganella sacchari,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,56.4,,53.6,20,28,,,37,17
Duganella phyllosphaerae,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,,,53.1,15,29,28,30,37,22
Dyadobacter endophyticus,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,46.6,,53.1,20,30,,,45,25
Dyadobacter jejuensis,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,45.1,,53.3,15,25,,,37,22
Dyadobacter hamtensis,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,48,,53.2,10,22,,,37,27
Dyadobacter terricola,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,46.5,,53.1,15,26,20,32,37,22
Dyadobacter tibetensis,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,44.4,,52.4,4,30,,,35,31
Dyadobacter beijingensis,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,49.2,,52.8,4,28,,,35,31
Dyadobacter flavus,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,48.7,,52.8,15,25,20,30,35,20
Dyadobacter jiangsuensis,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,51.3,,53.2,10,25,,,30,20
Dyadobacter sediminis,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,45.4,,53.7,10,25,,,30,20
Dyadobacter soli,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,48.5,,53.3,15,25,,,30,15
Dyadobacter koreensis,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,44,,53.6,4,25,,,30,26
Dyadobacter crusticola,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,48,,52.7,5,25,,,30,25
Dyadobacter alkalitolerans,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,46.3,,53,4,21.5,18,25,30,26
Dyadobacter psychrophilus,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,48.9,,53.3,1,12.5,10,15,30,29
Dyadobacter arcticus,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,50,,52.6,4,18,,,28,24
Dyella thiooxydans,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,68,4.2,56.2,4,30,,,42,38
Dyella ginsengisoli,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,66.6,,55.5,15,30,,,42,27
Dyella flava,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,60.7,,55.5,10,28,,,42,32
Dyella acidisoli,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,58.2,,55.7,10,28,,,42,32
Dyella nitratireducens,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,58.8,,56,10,28,,,42,32
Dyella caseinilytica,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,59.4,,54.9,10,26.5,25,28,42,32
Dyella jejuensis,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,62.1,,55.6,10,30,,,37,27
Dyella jiangningensis,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,64,,55.3,10,30,,,37,27
Dyella lipolytica,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,58.2,,56,10,28,,,37,27
Dyella flagellata,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,59,,56,10,28,,,37,27
Dyella marensis,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,66.2,,55.5,20,33.5,30,37,37,17
Dyella japonica,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,65,4.8,54.9,10,27.5,25,30,37,27
Dyella mobilis,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,59.5,,55.4,10,26.5,25,28,37,27
Dyella humi,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,60.3,,55.7,10,26.5,25,28,37,27
Dyella soli,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,67,,55,10,29,28,30,35,25
Dyella terrae,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,64,,55.4,10,29,28,30,35,25
Dysgonomonas macrotermitis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonamonadaceae,Dysgonomonas,40,,50.7,20,36,35,37,40,20
Dysgonomonas alginatilytica,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonamonadaceae,Dysgonomonas,37.5,,50.1,20,35,,,37,17
Echinicola sediminis,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Echinicola,44.6,,55.6,20,28,,,45,25
Echinicola vietnamensis,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Echinicola,44.8,5.6,56.2,6,31,30,32,44,38
Echinicola jeungdonensis,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Echinicola,46.9,,54,15,20,,,42,27
Echinicola pacifica,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Echinicola,44.5,,53.5,6,26.5,25,28,41,35
Echinicola shivajiensis,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Echinicola,46.2,,54.9,5,33.5,30,37,40,35
Echinicola strongylocentroti,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Echinicola,44.1,6.3,55.5,20,25,,,30,10
Echinimonas agarilytica,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Echinimonas,46.1,,52.7,4,30,28,32,40,36
Ectothiorhodospira magna,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Ectothiorhodospira,59.2,,56,20,32.5,30,35,45,25
Ectothiorhodospira variabilis,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Ectothiorhodospira,62.8,,56,20,32.5,30,35,45,25
Edaphobacter acidisoli,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Edaphobacter,57.6,,53.6,12,28,,,42,30
Edaphobacter bradus,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Edaphobacter,59.6,,54.3,10,28,,,37,27
Edaphobacter lichenicola,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Edaphobacter,54.7,,53.9,7,25,20,30,37,30
Edaphobacter dinghuensis,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Edaphobacter,57.7,,53.4,10,30.5,28,33,33,23
Edaphobaculum flavum,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Edaphobaculum,43.2,,51.2,16,28,,,33,17
Edaphocola aurantiacus,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Edaphocola,48.3,,50.5,10,27.5,25,30,30,20
Edwardsiella piscicida,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella,,3.9,54.3,25,29,28,30,37,12
Edwardsiella anguillarum,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella,58.4,4.3,54,18,29,28,30,37,19
Effusibacillus pohliae,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Effusibacillus,55.1,,59.4,42,55,,,60,18
Effusibacillus lacus,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Effusibacillus,50.8,,58.3,28,51,50,52,60,32
Effusibacillus consociatus,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Effusibacillus,47,,57.7,15,30,,,45,30
Egibacter rhizosphaerae,Bacteria,Actinobacteria,Nitriliruptoria,Egibacterales,Egibacteraceae,Egibacter,71.7,4.6,60.4,25,32.5,30,35,50,25
Egicoccus halophilus,Bacteria,Actinobacteria,Nitriliruptoria,Egicoccales,Egicoccaceae,Egicoccus,72.6,4,58.8,20,30,,,40,20
Eionea nigra,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Eionea,47.5,,52.5,10,30,,,44,34
Eionea flava,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Eionea,48.7,,52.7,4,25,,,37,33
Eisenbergiella tayi,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eisenbergiella,46,,53.4,15,38,39,37,45,30
Ekhidna lutea,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Ekhidna,37.2,,51.2,20,30,,,37,17
Elstera cyanobacteriorum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Elstera,62.4,,56.1,20,28,,,37,17
Elstera litoralis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Elstera,61,,55.9,10,22.5,20,25,25,15
Elusimicrobium minutum,Bacteria,Elusimicrobia,Elusimicrobia,Elusimicrobiales,Elusimicrobiaceae,Elusimicrobium,,1.6,50.3,20,30,,,32,12
Emcibacter nanhaiensis,Bacteria,Proteobacteria,Alphaproteobacteria,Emcibacterales,Emcibacteraceae,Emcibacter,56.3,,54.7,15,37,,,45,30
Empedobacter stercoris,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Empedobacter,31.7,,48.7,10,28,,,36,26
Emticicia aquatilis,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Emticicia,43.3,,50.9,4,30,25,35,42,38
Emticicia sediminis,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Emticicia,37.7,,50.7,4,28,,,35,31
Emticicia paludis,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Emticicia,38.5,,50.8,10,25,,,30,20
Emticicia aquatica,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Emticicia,36.5,,51.2,15,25,,,30,15
Emticicia fontis,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Emticicia,37.7,,51.2,10,25,,,30,20
Endobacter medicaginis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Endobacter,60.3,,56.5,20,28,,,37,17
Endomicrobium proavitum,Bacteria,Elusimicrobia,Endomicrobia,Endomicrobiales,Endomicrobiaceae,Endomicrobium,39.3,1.6,53,16,30,,,34,18
Endothiovibrio diazotrophicus,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Thioalkalispiraceae,Endothiovibrio,67.6,,55.6,5,28,,,37,32
Endozoicomonas atrinae,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,50.5,,55.3,15,30,,,37,22
Endozoicomonas numazuensis,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,48.7,,55,15,25,,,37,22
Endozoicomonas montiporae,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,50,,55.2,15,25,,,35,20
Endozoicomonas arenosclerae,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,47.6,,54.2,12,25,20,30,35,23
Endozoicomonas acroporae,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,49.1,,55.6,20,30,,,30,10
Endozoicomonas gorgoniicola,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,47.5,,55.6,15,26,22,30,30,15
Endozoicomonas euniceicola,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,48.6,,54.8,15,26,22,30,30,15
Endozoicomonas ascidiicola,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,46.7,,54.6,5,24,23,25,27,22
Enhydrobacter aerosaccus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,Enhydrobacter,66,,51.5,20,38,37,39,41,21
Enhygromyxa salina,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,Enhygromyxa,66,,57.3,5,29,28,30,34,29
Enorma massiliensis,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Enorma,62,,66.7,37,37,,,45,8
Enorma timonensis,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Enorma,65.8,,67,37,37,,,45,8
Enteractinococcus helveticum,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Enteractinococcus,56.3,,55.3,25,28,,,40,15
Enteractinococcus viverrae,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Enteractinococcus,56.4,,56.7,20,28,,,40,20
Enteractinococcus lamae,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Enteractinococcus,55.9,,57.1,25,28,,,40,15
Enteractinococcus coprophilus,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Enteractinococcus,56.2,,57,10,28,,,37,27
Enterobacter siamensis,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,53,,55.1,10,37,,,45,35
Enterobacter oligotrophica ,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,54.3,4.5,55.8,10,20,,,45,35
Enterobacter tabaci,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,54.8,,54.8,4,31,25,37,45,41
Enterobacter mori,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,55.1,,55.1,20,28,,,30,10
Enterococcus asini,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,39.4,,53.8,10,40,,,45,35
Enterococcus eurekensis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,37.9,,53,10,37,,,45,35
Enterococcus crotali,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,,53.7,10,35,,,45,35
Enterococcus ureasiticus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,41.7,,52.9,30,30,,,45,15
Enterococcus xinjiangensis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,44.5,,53.3,10,28.5,20,37,45,35
Enterococcus massiliensis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,39.6,,52.7,25,37,,,37,12
Enterovibrio pacificus,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Enterovibrio,44.8,,54.2,10,28,,,37,27
Enterovibrio baiacu,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Enterovibrio,48,,,10,25,22,28,32,22
Entomoplasma luminosum,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Entomoplasmataceae,Entomoplasma,29.8,1,49.6,0,32,,,32,32
Entomoplasma somnilux,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Entomoplasmataceae,Entomoplasma,28,0.9,49.4,10,30,,,32,22
Entomoplasma lucivorax,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Entomoplasmataceae,Entomoplasma,27.4,,49,10,30,,,32,22
Entomoplasma freundtii,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Entomoplasmataceae,Entomoplasma,34.6,0.8,49.1,10,30,,,32,22
